filename,category,snr_level,method,processing_time_ms
1_138_plus_1-47819-C-5_0dB.wav,cat,0dB,Spectral Gating,23.04
1_188_plus_5-177614-A-5_0dB.wav,cat,0dB,Spectral Gating,20.03
1_193_plus_5-214759-A-5_0dB.wav,cat,0dB,Spectral Gating,19.53
1_231_plus_1-34094-B-5_0dB.wav,cat,0dB,Spectral Gating,22.59
1_265_plus_2-83934-A-5_0dB.wav,cat,0dB,Spectral Gating,19.52
1_315_plus_3-146964-A-5_0dB.wav,cat,0dB,Spectral Gating,20.92
1_328_plus_4-120160-A-5_0dB.wav,cat,0dB,Spectral Gating,17.0
1_357_plus_2-83934-B-5_0dB.wav,cat,0dB,Spectral Gating,14.51
1_395_plus_4-149940-B-5_0dB.wav,cat,0dB,Spectral Gating,13.01
1_425_plus_5-214759-B-5_0dB.wav,cat,0dB,Spectral Gating,14.53
