FILENAME,0dB,-5dB,Spectral
1_118_plus_2-118624-A-30_-5dB.wav,0.8837,0.7648,0.6256
1_127_plus_2-133889-A-30_-5dB.wav,0.8701,0.7653,0.7402
1_151_plus_3-182023-A-30_-5dB.wav,0.9190,0.7837,0.6196
1_254_plus_3-151089-A-30_-5dB.wav,0.5833,0.3604,0.2026
1_305_plus_2-118625-A-30_-5dB.wav,0.6308,0.6218,0.6605
1_315_plus_5-250026-B-30_-5dB.wav,0.6610,0.6920,0.6337
1_425_plus_4-182041-A-30_-5dB.wav,0.7560,0.5639,0.6120
1_437_plus_2-120218-A-30_-5dB.wav,0.7298,0.6723,0.4746
1_484_plus_4-187284-A-30_-5dB.wav,0.6244,0.6421,0.3071
1_62_plus_3-154378-A-30_-5dB.wav,0.5328,0.4850,0.4608
